nct_id,title,sponsor_name,sponsor_class,collaborators,n_collaborators,phase,study_type,enrollment,start_date,overall_status,conditions,n_sites,sponsor_clean,sponsor_final
NCT01079182,Basic Documentation of Adalimumab (Humira) in Patients With Ankylosing Spondylitis (AS),"AbbVie (prior sponsor, Abbott)",INDUSTRY,,0,,OBSERVATIONAL,4681.0,2006-01,COMPLETED,Ankylosing Spondylitis,0,abbvie prior sponsor abbott,abbvie prior sponsor abbott
NCT07497724,Odevixibat Outcomes in Patients With PFIC Versus an External Control Cohort (OvEC-PFIC),Ipsen,INDUSTRY,Erasmus Medical Center; University Medical Center Groningen,2,,OBSERVATIONAL,200.0,2026-04-26,ACTIVE_NOT_RECRUITING,PFIC - Progressive Familial Intrahepatic Cholestasis,1,ipsen,ipsen
NCT00648024,Fasting Study of Anagrelide Hydrochloride Capsules 1 mg to Agrylin® Capsules 1 mg,Mylan Pharmaceuticals Inc,INDUSTRY,,0,PHASE1,INTERVENTIONAL,47.0,2003-01,COMPLETED,Healthy,1,mylan,mylan
NCT01324323,Influence of Rifampin on the Pharmacokinetics of Romidepsin in Patients With Advanced Cancer,Celgene,INDUSTRY,,0,PHASE1,INTERVENTIONAL,14.0,2011-04-01,COMPLETED,Hematologic Malignancy; Malignant Lymphoma,3,bms,bms
NCT01285323,A Study to Evaluate the Efficacy and Safety of Reslizumab in Patients With Eosinophilic Asthma,"Teva Branded Pharmaceutical Products R&D, Inc.",INDUSTRY,,0,PHASE3,INTERVENTIONAL,464.0,2011-03,COMPLETED,Eosinophilic Asthma,104,teva branded pharmaceutical products r and d,teva branded pharmaceutical products r and d
NCT00648180,Food Study of Doxycycline Monohydrate Tablets 100 mg and Adoxa Tablets 100 mg,Mylan Pharmaceuticals Inc,INDUSTRY,,0,PHASE1,INTERVENTIONAL,36.0,2005-07,COMPLETED,Healthy,1,mylan,mylan
NCT07018180,Interventional Clinical Trial Evaluating COVER PATCH CAPTEUR PROTECT Support Solutions for Continuous Glucose Monitoring Sensors in Patients With Diabetes,CAPTEUR PROTECT,INDUSTRY,Icadom,1,,INTERVENTIONAL,194.0,2025-12-05,RECRUITING,Diabetes,7,capteur protect,capteur protect
NCT02044380,Afatinib in Patients With Non Small Cell Lung Cancer (NSCLC) With Epidermal Growth Factor Receptor (EGFR) Mutations,Boehringer Ingelheim,INDUSTRY,,0,PHASE3,INTERVENTIONAL,14.0,2014-03,COMPLETED,"Carcinoma, Non-Small-Cell Lung",5,boehringer,boehringer
NCT03604380,STATE Trial: SusTained Attention Training to Enhance Sleep - Remote,Posit Science Corporation,INDUSTRY,,0,,INTERVENTIONAL,134.0,2018-07-10,COMPLETED,Insomnia Chronic,1,posit,posit
NCT00623480,Trial to Evaluate the Effect of Secondary Prophylaxis With rFVIII Therapy in Severe Hemophilia A Adult and/or Adolescent Subjects Compared to That of Episodic Treatment,Bayer,INDUSTRY,,0,PHASE3,INTERVENTIONAL,84.0,2008-03,COMPLETED,Hemophilia A,38,bayer,bayer
NCT06309979,A Study to Assess Growth in Children With Idiopathic Short Stature,BioMarin Pharmaceutical,INDUSTRY,,0,,OBSERVATIONAL,300.0,2024-08-08,RECRUITING,Idiopathic Short Stature,38,biomarin,biomarin
NCT02360579,"Study of Lifileucel (LN-144), Autologous Tumor Infiltrating Lymphocytes, in the Treatment of Patients With Metastatic Melanoma","Iovance Biotherapeutics, Inc.",INDUSTRY,,0,PHASE2,INTERVENTIONAL,220.0,2015-09-24,COMPLETED,Metastatic Melanoma,57,iovance biotherapeutics,iovance biotherapeutics
NCT01726179,Efficacy of Proximal Caries Infiltration,DMG Dental Material Gesellschaft mbH,INDUSTRY,Universidade Federal do Rio de Janeiro; Rio de Janeiro State Research Supporting Foundation (FAPERJ),2,,INTERVENTIONAL,50.0,2013-12,COMPLETED,Dental Health; Caries,1,dmg dental material gesellschaft mbh,dmg dental material gesellschaft mbh
NCT01419379,"This is a Multicenter, Prospective and Retrospective and Descriptive Epidemiology Study in Patients With Chronic Obstructive Pulmonary Disease (COPD) in Korea",Takeda,INDUSTRY,,0,,OBSERVATIONAL,1118.0,2011-07,COMPLETED,COPD,14,takeda,takeda
NCT05216679,Novel Stretching Device Versus Night Splints,SAE Orthopedics,INDUSTRY,,0,,INTERVENTIONAL,100.0,2026-04-15,RECRUITING,Plantar Fasciitis,1,sae orthopedics,sae orthopedics
NCT00523796,InPractice Survey on the Treatment of Hypercholesterolemia,AstraZeneca,INDUSTRY,,0,,OBSERVATIONAL,2500.0,2007-02,COMPLETED,Hypercholesterolemia,1,astrazeneca,astrazeneca
NCT01798979,"A Phase I, Open Interaction Study Between GLPG0634 and Midazolam in Healthy Subjects",Lakefront Biotherapeutics NV,INDUSTRY,,0,PHASE1,INTERVENTIONAL,20.0,2013-02,COMPLETED,Healthy,1,lakefront biotherapeutics,lakefront biotherapeutics
NCT06619496,Health in Motion Pragmatic Clinical Trial - WRAPAROUND,Blue Marble Rehab Inc,INDUSTRY,National Institute on Aging (NIA); Partners In Care Foundation,2,,INTERVENTIONAL,63.0,2022-10-24,COMPLETED,Aging,1,blue marble rehab,blue marble rehab
NCT02482324,Phase 1 Study of ALZT-OP1 Combination Therapy in Normal Healthy Volunteers,"AZTherapies, Inc.",INDUSTRY,Panax Clinical Research; Pharma Consulting Group AB; KCAS,3,PHASE1,INTERVENTIONAL,26.0,2015-06,COMPLETED,Healthy Volunteers,1,aztherapies,aztherapies
NCT02219724,A Study to Assess Safety and Pharmacokinetics of MOXR0916 in Participants With Locally Advanced or Metastatic Solid Tumors,"Genentech, Inc.",INDUSTRY,,0,PHASE1,INTERVENTIONAL,174.0,2014-08-12,COMPLETED,Neoplasms,31,roche,roche
NCT06275724,Specified Drug-use Survey of Leqvio for s.c. Injection.,Novartis Pharmaceuticals,INDUSTRY,,0,,OBSERVATIONAL,585.0,2024-03-04,ACTIVE_NOT_RECRUITING,Familial Hypercholesterolaemia; Hypercholesterolaemia,107,novartis,novartis
NCT00666224,Evaluate Early Glatiramer Acetate Treatment in Delaying Conversion to Clinically Definite Multiple Sclerosis of Subjects Presenting With Clinically Isolated Syndrome,"Teva Branded Pharmaceutical Products R&D, Inc.",INDUSTRY,,0,PHASE3,INTERVENTIONAL,481.0,2004-01,COMPLETED,Multiple Sclerosis,0,teva branded pharmaceutical products r and d,teva branded pharmaceutical products r and d
