nct_id,title,sponsor_name,sponsor_class,collaborators,n_collaborators,phase,study_type,enrollment,start_date,overall_status,conditions,n_sites,sponsor_clean,sponsor_final,sponsor_trial_count,phase_simple,complex_ta,c_sites,c_enroll,c_smallspon,c_latephase,c_complex,outsourcing_score,known_cro
NCT01079182,Basic Documentation of Adalimumab (Humira) in Patients With Ankylosing Spondylitis (AS),"AbbVie (prior sponsor, Abbott)",INDUSTRY,,0,,OBSERVATIONAL,4681.0,2006-01,COMPLETED,Ankylosing Spondylitis,0,abbvie prior sponsor abbott,abbvie prior sponsor abbott,9,NA,0,0.03475,0.984,0.34424999999999994,0.4,0.0,0.29105,0
NCT07497724,Odevixibat Outcomes in Patients With PFIC Versus an External Control Cohort (OvEC-PFIC),Ipsen,INDUSTRY,Erasmus Medical Center; University Medical Center Groningen,2,,OBSERVATIONAL,200.0,2026-04-26,ACTIVE_NOT_RECRUITING,PFIC - Progressive Familial Intrahepatic Cholestasis,1,ipsen,ipsen,6,NA,0,0.26075,0.67875,0.40075000000000005,0.4,0.0,0.3594,0
NCT00648024,Fasting Study of Anagrelide Hydrochloride Capsules 1 mg to Agrylin® Capsules 1 mg,Mylan Pharmaceuticals Inc,INDUSTRY,,0,PHASE1,INTERVENTIONAL,47.0,2003-01,COMPLETED,Healthy,1,mylan,mylan,5,PHASE1,0,0.26075,0.31475,0.41425,0.3,0.0,0.312725,0
NCT01324323,Influence of Rifampin on the Pharmacokinetics of Romidepsin in Patients With Advanced Cancer,Celgene,INDUSTRY,,0,PHASE1,INTERVENTIONAL,14.0,2011-04-01,COMPLETED,Hematologic Malignancy; Malignant Lymphoma,3,bms,bms,28,PHASE1,1,0.531,0.07425,0.25275000000000003,0.3,1.0,0.37673749999999995,0
NCT01285323,A Study to Evaluate the Efficacy and Safety of Reslizumab in Patients With Eosinophilic Asthma,"Teva Branded Pharmaceutical Products R&D, Inc.",INDUSTRY,,0,PHASE3,INTERVENTIONAL,464.0,2011-03,COMPLETED,Eosinophilic Asthma,104,teva branded pharmaceutical products r and d,teva branded pharmaceutical products r and d,7,PHASE3,0,0.9605,0.84375,0.38425,1.0,0.0,0.7050375,0
NCT00648180,Food Study of Doxycycline Monohydrate Tablets 100 mg and Adoxa Tablets 100 mg,Mylan Pharmaceuticals Inc,INDUSTRY,,0,PHASE1,INTERVENTIONAL,36.0,2005-07,COMPLETED,Healthy,1,mylan,mylan,5,PHASE1,0,0.26075,0.252,0.41425,0.3,0.0,0.30644999999999994,0
NCT07018180,Interventional Clinical Trial Evaluating COVER PATCH CAPTEUR PROTECT Support Solutions for Continuous Glucose Monitoring Sensors in Patients With Diabetes,CAPTEUR PROTECT,INDUSTRY,Icadom,1,,INTERVENTIONAL,194.0,2025-12-05,RECRUITING,Diabetes,7,capteur protect,capteur protect,1,NA,0,0.6405,0.6685,0.802,0.4,0.0,0.6317250000000001,0
NCT02044380,Afatinib in Patients With Non Small Cell Lung Cancer (NSCLC) With Epidermal Growth Factor Receptor (EGFR) Mutations,Boehringer Ingelheim,INDUSTRY,,0,PHASE3,INTERVENTIONAL,14.0,2014-03,COMPLETED,"Carcinoma, Non-Small-Cell Lung",5,boehringer,boehringer,44,PHASE3,1,0.59925,0.07425,0.14575000000000005,1.0,1.0,0.46817499999999995,0
NCT03604380,STATE Trial: SusTained Attention Training to Enhance Sleep - Remote,Posit Science Corporation,INDUSTRY,,0,,INTERVENTIONAL,134.0,2018-07-10,COMPLETED,Insomnia Chronic,1,posit,posit,1,NA,0,0.26075,0.5925,0.802,0.4,0.0,0.4912125,0
NCT00623480,Trial to Evaluate the Effect of Secondary Prophylaxis With rFVIII Therapy in Severe Hemophilia A Adult and/or Adolescent Subjects Compared to That of Episodic Treatment,Bayer,INDUSTRY,,0,PHASE3,INTERVENTIONAL,84.0,2008-03,COMPLETED,Hemophilia A,38,bayer,bayer,30,PHASE3,0,0.8675,0.4725,0.23075,1.0,0.0,0.5816375,0
NCT06309979,A Study to Assess Growth in Children With Idiopathic Short Stature,BioMarin Pharmaceutical,INDUSTRY,,0,,OBSERVATIONAL,300.0,2024-08-08,RECRUITING,Idiopathic Short Stature,38,biomarin,biomarin,2,NA,0,0.8675,0.76075,0.5527500000000001,0.4,0.0,0.6331625000000001,0
NCT02360579,"Study of Lifileucel (LN-144), Autologous Tumor Infiltrating Lymphocytes, in the Treatment of Patients With Metastatic Melanoma","Iovance Biotherapeutics, Inc.",INDUSTRY,,0,PHASE2,INTERVENTIONAL,220.0,2015-09-24,COMPLETED,Metastatic Melanoma,57,iovance biotherapeutics,iovance biotherapeutics,1,PHASE2,0,0.91375,0.6995,0.802,0.6,0.0,0.7604624999999999,0
NCT01726179,Efficacy of Proximal Caries Infiltration,DMG Dental Material Gesellschaft mbH,INDUSTRY,Universidade Federal do Rio de Janeiro; Rio de Janeiro State Research Supporting Foundation (FAPERJ),2,,INTERVENTIONAL,50.0,2013-12,COMPLETED,Dental Health; Caries,1,dmg dental material gesellschaft mbh,dmg dental material gesellschaft mbh,1,NA,0,0.26075,0.3365,0.802,0.4,0.0,0.4656125,0
NCT01419379,"This is a Multicenter, Prospective and Retrospective and Descriptive Epidemiology Study in Patients With Chronic Obstructive Pulmonary Disease (COPD) in Korea",Takeda,INDUSTRY,,0,,OBSERVATIONAL,1118.0,2011-07,COMPLETED,COPD,14,takeda,takeda,25,NA,0,0.741,0.936,0.27225,0.4,0.0,0.5082374999999999,0
NCT05216679,Novel Stretching Device Versus Night Splints,SAE Orthopedics,INDUSTRY,,0,,INTERVENTIONAL,100.0,2026-04-15,RECRUITING,Plantar Fasciitis,1,sae orthopedics,sae orthopedics,1,NA,0,0.26075,0.5205,0.802,0.4,0.0,0.4840125,0
NCT00523796,InPractice Survey on the Treatment of Hypercholesterolemia,AstraZeneca,INDUSTRY,,0,,OBSERVATIONAL,2500.0,2007-02,COMPLETED,Hypercholesterolemia,1,astrazeneca,astrazeneca,83,NA,0,0.26075,0.9715,0.020499999999999963,0.4,0.0,0.25558749999999997,0
NCT01798979,"A Phase I, Open Interaction Study Between GLPG0634 and Midazolam in Healthy Subjects",Lakefront Biotherapeutics NV,INDUSTRY,,0,PHASE1,INTERVENTIONAL,20.0,2013-02,COMPLETED,Healthy,1,lakefront biotherapeutics,lakefront biotherapeutics,5,PHASE1,0,0.26075,0.118,0.41425,0.3,0.0,0.29305,0
NCT06619496,Health in Motion Pragmatic Clinical Trial - WRAPAROUND,Blue Marble Rehab Inc,INDUSTRY,National Institute on Aging (NIA); Partners In Care Foundation,2,,INTERVENTIONAL,63.0,2022-10-24,COMPLETED,Aging,1,blue marble rehab,blue marble rehab,1,NA,0,0.26075,0.4045,0.802,0.4,0.0,0.47241249999999996,0
NCT02482324,Phase 1 Study of ALZT-OP1 Combination Therapy in Normal Healthy Volunteers,"AZTherapies, Inc.",INDUSTRY,Panax Clinical Research; Pharma Consulting Group AB; KCAS,3,PHASE1,INTERVENTIONAL,26.0,2015-06,COMPLETED,Healthy Volunteers,1,aztherapies,aztherapies,1,PHASE1,0,0.26075,0.1705,0.802,0.3,0.0,0.43401249999999997,0
NCT02219724,A Study to Assess Safety and Pharmacokinetics of MOXR0916 in Participants With Locally Advanced or Metastatic Solid Tumors,"Genentech, Inc.",INDUSTRY,,0,PHASE1,INTERVENTIONAL,174.0,2014-08-12,COMPLETED,Neoplasms,31,roche,roche,43,PHASE1,0,0.841,0.64025,0.16749999999999998,0.3,0.0,0.4619999999999999,0
NCT06275724,Specified Drug-use Survey of Leqvio for s.c. Injection.,Novartis Pharmaceuticals,INDUSTRY,,0,,OBSERVATIONAL,585.0,2024-03-04,ACTIVE_NOT_RECRUITING,Familial Hypercholesterolaemia; Hypercholesterolaemia,107,novartis,novartis,53,NA,0,0.9645,0.87475,0.12150000000000005,0.4,0.0,0.5275750000000001,0
NCT00666224,Evaluate Early Glatiramer Acetate Treatment in Delaying Conversion to Clinically Definite Multiple Sclerosis of Subjects Presenting With Clinically Isolated Syndrome,"Teva Branded Pharmaceutical Products R&D, Inc.",INDUSTRY,,0,PHASE3,INTERVENTIONAL,481.0,2004-01,COMPLETED,Multiple Sclerosis,0,teva branded pharmaceutical products r and d,teva branded pharmaceutical products r and d,7,PHASE3,0,0.03475,0.85175,0.38425,1.0,0.0,0.38182499999999997,0
NCT03362723,A Study to Investigate the Bioequivalence or Relative Bioavailability of Three New Idasanutlin Tablet Variants Following Oral Administration in Participants With Solid Tumors,Hoffmann-La Roche,INDUSTRY,,0,PHASE1,INTERVENTIONAL,48.0,2017-11-27,COMPLETED,Solid Tumors,11,roche,roche,43,PHASE1,1,0.70025,0.32175,0.16749999999999998,0.3,1.0,0.4308874999999999,0
NCT03821480,Diflucan Bioequivalence Study For Transferring The Manufacture,Pfizer,INDUSTRY,,0,PHASE1,INTERVENTIONAL,28.0,2019-01-28,COMPLETED,Bioequivalence,1,pfizer,pfizer,58,PHASE1,0,0.26075,0.18275,0.09375,0.3,0.0,0.18734999999999996,0
NCT02761980,A Study of Ibuprofen 250 mg / Acetaminophen 500 mg Comparing The Antipyretic Effects in Healthy Male Volunteers,Pfizer,INDUSTRY,,0,PHASE3,INTERVENTIONAL,290.0,2016-12-06,COMPLETED,Fever,1,pfizer,pfizer,58,PHASE3,0,0.26075,0.753,0.09375,1.0,0.0,0.349375,0
NCT00679380,(CB-01-02/02) Randomized Placebo Controlled Trial of Budesonide-multi-matrix System (MMX™) 6 mg and 9 mg in Patients With Ulcerative Colitis,"Bausch Health Americas, Inc.",INDUSTRY,Cosmo Technologies Ltd,1,PHASE3,INTERVENTIONAL,514.0,2008-06,COMPLETED,Ulcerative Colitis,71,bausch health americas,bausch health americas,1,PHASE3,0,0.934,0.8625,0.802,1.0,0.0,0.8438500000000001,0
NCT05735080,"Open-Label Study to Evaluate the Safety, Tolerability, PK, and Efficacy of INX-315 in Patients With Advanced Cancer",Incyclix Bio,INDUSTRY,,0,PHASE1; PHASE2,INTERVENTIONAL,150.0,2023-03-28,RECRUITING,Breast Cancer; Breast Cancer Metastatic; Hormone Receptor Positive Tumor; Human Epidermal Growth Factor 2 Negative Carcinoma of Breast; Ovarian Cancer; CCNE1 Amplification; Solid Tumor; Advanced Cancer; Metastatic Cancer,18,incyclix bio,incyclix bio,1,PHASE1,1,0.77375,0.61025,0.802,0.3,1.0,0.7075375,0
NCT01048580,Study of Perifosine + Capecitabine for Colon Cancer Patients,AEterna Zentaris,INDUSTRY,"SCRI Development Innovations, LLC",1,PHASE1,INTERVENTIONAL,10.0,2009-10,COMPLETED,Colon Cancer,0,aeterna zentaris,aeterna zentaris,1,PHASE1,0,0.03475,0.04075,0.802,0.3,0.0,0.3419375,1
NCT01489696,A Study to Evaluate Cardiovascular Interactions Between Mirabegron and Tamsulosin,Astellas Pharma Inc,INDUSTRY,,0,PHASE1,INTERVENTIONAL,48.0,2010-08,COMPLETED,Cardiovascular; Healthy Subjects; Pharmacokinetics,1,astellas,astellas,9,PHASE1,0,0.26075,0.32175,0.34424999999999994,0.3,0.0,0.28892499999999993,0
